Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Y Ding, Y Liu, B Yang, J Liu, P Gao…","Application of artificial intelligence technology in 3D concrete printing quality inspection and control: a state-of-the-art review",2025,"Journal of Sustainable …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/21650373.2025.2589418","",11,"2026-01-26 18:01:20","","10.1080/21650373.2025.2589418","",,,,,,0,0.00,0,6,1,"… 3D concrete printing (3DCP) has emerged as a groundbreaking technology in construction industry, enabling rapid fabrication of complex structures with reduced formwork …","https://www.tandfonline.com/doi/pdf/10.1080/21650373.2025.2589418","https://scholar.google.com/scholar?q=related:plPXEYctTXEJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
0,"TA Marchment","Study of Interlayer Adhesion and Development of Reinforcing Methods for 3D Concrete Printing",2021,"","figshare.swinburne.edu.au","https://figshare.swinburne.edu.au/articles/thesis/Study_of_Interlayer_Adhesion_and_Development_of_Reinforcing_Methods_for_3D_Concrete_Printing/26283022","",12,"2026-01-26 18:01:20","","","",,,,,,0,0.00,0,1,5,"… surface finishing. Most recently this research group have printed a slender free form double … After printing, a secondary robot provided surface finishing while the material was in a …","https://figshare.swinburne.edu.au/articles/thesis/Study_of_Interlayer_Adhesion_and_Development_of_Reinforcing_Methods_for_3D_Concrete_Printing/26283022/1/files/47648248.pdf","https://scholar.google.com/scholar?q=related:cmJPLb5pBLgJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
56,"R Buswell, P Kinnell, J Xu, N Hack, H Kloft…","Inspection methods for 3D concrete printing",2020,"… conference on concrete …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-49916-7_78","https://scholar.google.com/scholar?cites=4717756853774526289&as_sdt=2005&sciodt=2007&hl=en",13,"2026-01-26 18:01:20","","10.1007/978-3-030-49916-7_78","",,,,,,56,9.33,9,6,6,"… Data was acquired under different object conditions (dry/wet, with/without reinforcement, before/after surface finishing) in order to take possible conditions on real construction projects …","https://repository.lboro.ac.uk/articles/conference_contribution/Inspection_methods_for_3D_concrete_printing/12233735/1/files/22495163.pdf","https://scholar.google.com/scholar?q=related:USfl3dzWeEEJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
74,"R Buswell, J Xu, D De Becker, J Dobrzanski…","Geometric quality assurance for 3D concrete printing and hybrid construction manufacturing using a standardised test part for benchmarking capability",2022,"Cement and Concrete …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0008884622000643","https://scholar.google.com/scholar?cites=2205498377137954219&as_sdt=2005&sciodt=2007&hl=en",14,"2026-01-26 18:01:20","HTML","","",,,,,,74,18.50,15,5,4,"The need for quality control and assurance in 3D Concrete Printing (3DCP) is widely recognised. Achieving geometric accuracy to a specified tolerance is a cornerstone of component-…","https://www.sciencedirect.com/science/article/pii/S0008884622000643","https://scholar.google.com/scholar?q=related:qx0CuhaBmx4J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
259,"A Siddika, MAA Mamun, W Ferdous…","3D-printed concrete: Applications, performance, and challenges",2020,"Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/21650373.2019.1705199","https://scholar.google.com/scholar?cites=10016459565689756010&as_sdt=2005&sciodt=2007&hl=en",15,"2026-01-26 18:01:20","","10.1080/21650373.2019.1705199","",,,,,,259,43.17,65,4,6,"… This comprehensive review shows that challenges involved in 3D concrete printing should … shape, and a square orifice is preferred for good surface finishing [Citation4]. The vertical …","https://www.tandfonline.com/doi/pdf/10.1080/21650373.2019.1705199","https://scholar.google.com/scholar?q=related:alkA0OecAYsJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
12,"R Dörrie, M David, N Freund, D Lowke…","In-process integration of reinforcement for construction elements during shotcrete 3D printing",2023,"Open Conference …","tib-op.org","https://www.tib-op.org/ojs/index.php/ocp/article/view/224","https://scholar.google.com/scholar?cites=1453822354352171958&as_sdt=2005&sciodt=2007&hl=en",16,"2026-01-26 18:01:20","","","",,,,,,12,4.00,2,5,3,"… of reinforcement into 3D concrete printing still faces many … limitations of the respective 3D concrete printing techniques. The … includes the potential for surface finishing and attainment of …","https://www.tib-op.org/ojs/index.php/ocp/article/download/224/658","https://scholar.google.com/scholar?q=related:tuuuhboDLRQJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
0,"A Perrot, Y Jacquet, S Amziane","3D Concrete Printing: Technologies, Applications and Classifications",2025,"… Concrete Printing …","asmedigitalcollection.asme.org","https://asmedigitalcollection.asme.org/book/chapter-pdf/7519190/862tcp_ch1.pdf","",17,"2026-01-26 18:01:20","","","",,,,,,0,0.00,0,3,1,"… 3D concrete printing has almost as many variations as there are printers and companies … , scales and robotic systems in the field of 3D concrete printing. Today, prefabrication or on-site …","","https://scholar.google.com/scholar?q=related:kg_tmE5PU9gJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
0,"PK Dubey, MC Maurya","A comprehensive review of 3D printing in construction: technology, materials, and digital workflow",2026,"Innovative Infrastructure Solutions","Springer","https://link.springer.com/article/10.1007/s41062-025-02432-w","",18,"2026-01-26 18:01:20","HTML","10.1007/s41062-025-02432-w","",,,,,,0,0.00,0,2,1,"… post-processing (eg, heat treatment, surface finishing) is often required. Its applications span … 3D concrete printing, encompassing extrusion-based methods like Contour Crafting, uses …","https://link.springer.com/article/10.1007/s41062-025-02432-w","https://scholar.google.com/scholar?q=related:_ZAx6dfgvXYJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
0,"BK Shukla, G Bharti, B Parashar, PK Sharma…","Variables Influencing the Performance of 3D Concrete Printing for Sustainable Construction: Current Status and Future Prospects",2025,"… Technologies for Smart …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-92801-7_13","",19,"2026-01-26 18:01:20","","10.1007/978-3-031-92801-7_13","",,,,,,0,0.00,0,5,1,"… In most cases, printed components exhibit higher strength than required for structural and surface finishing applications. To minimize surface irregularities, automated troweling has …","","https://scholar.google.com/scholar?q=related:j3s0eC5hsZgJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
29,"A Babbar, A Rai, A Sharma","Latest trend in building construction: Three-dimensional printing",2021,"Journal of Physics: Conference …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1742-6596/1950/1/012007/meta","https://scholar.google.com/scholar?cites=933387661950546982&as_sdt=2005&sciodt=2007&hl=en",20,"2026-01-26 18:01:20","","10.1088/1742-6596/1950/1/012007","",,,,,,29,5.80,10,3,5,"… The method is used to make complex geometrical designs with high resolution and a good surface finishing because of minimal distance layers. In the past, starch-based material with …","https://iopscience.iop.org/article/10.1088/1742-6596/1950/1/012007/pdf","https://scholar.google.com/scholar?q=related:JnRLHCIP9AwJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
4,"AMA Zaki, M Carnevale, H Giberti…","Monitoring of 3D concrete printing quality through multi-view RGB-D images",2024,"ISARC. Proceedings of …","researchgate.net","https://www.researchgate.net/profile/Christian-Schlette/publication/381119030_Monitoring_of_3D_concrete_printing_quality_through_multi-view_RGB-D_images/links/66bb676d8f7e1236bc556629/Monitoring-of-3D-concrete-printing-quality-through-multi-view-RGB-D-images.pdf","https://scholar.google.com/scholar?cites=2055733523966820020&as_sdt=2005&sciodt=2007&hl=en",21,"2026-01-26 18:01:20","PDF","","",,,,,,4,2.00,1,4,2,"… of the 3D printed concrete object and to generate instructions to adjust them, eg by controlling the printer to fix-up gaps with additional material or to direct workers to surface finishing …","https://www.researchgate.net/profile/Christian-Schlette/publication/381119030_Monitoring_of_3D_concrete_printing_quality_through_multi-view_RGB-D_images/links/66bb676d8f7e1236bc556629/Monitoring-of-3D-concrete-printing-quality-through-multi-view-RGB-D-images.pdf","https://scholar.google.com/scholar?q=related:tH7nkL9uhxwJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
312,"AU Rehman, JH Kim","3D concrete printing: a systematic review of rheology, mix designs, mechanical, microstructural, and durability characteristics",2021,"Materials","mdpi.com","https://www.mdpi.com/1996-1944/14/14/3800","https://scholar.google.com/scholar?cites=3318796833579479366&as_sdt=2005&sciodt=2007&hl=en",22,"2026-01-26 18:01:20","HTML","","",,,,,,312,62.40,156,2,5,"… on the outer side soon after the deposition, and these cracks can expand due to the weight of the successively deposited layers at earlier ages, which will result in poor surface finishing, …","https://www.mdpi.com/1996-1944/14/14/3800","https://scholar.google.com/scholar?q=related:RjEy6yK8Di4J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
1,"H Sesetti, MV Lalithya, PG Kumar","3D Concrete Printing in Construction Industry—A State of the Art",2022,"… in Civil Engineering: Proceedings of the …","Springer","https://link.springer.com/chapter/10.1007/978-981-19-0189-8_32","https://scholar.google.com/scholar?cites=8567875543514828109&as_sdt=2005&sciodt=2007&hl=en",23,"2026-01-26 18:01:20","","10.1007/978-981-19-0189-8_32","",,,,,,1,0.25,0,3,4,"… Poor surface finishing is another challenge of 3DCP which is caused due to the improper control and excess deposition of materials, and insufficient material which results in forming …","https://www.researchgate.net/profile/Pala-Gireesh-Kumar/publication/360593063_3D_Concrete_Printing_in_Construction_Industry-A_State_of_the_Art/links/67a4b4da207c0c20fa7bc35a/3D-Concrete-Printing-in-Construction-Industry-A-State-of-the-Art.pdf","https://scholar.google.com/scholar?q=related:TU31imk153YJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
1,"SS Lucas","From 3D to 5D Printing: Additive Manufacturing of Functional Construction Materials",2024,"3D Printing for Construction in the Transformation of …","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.1201/9781003403890-3/3d-5d-printing-additive-manufacturing-functional-construction-materials-sandra-lucas","https://scholar.google.com/scholar?cites=6473232918876910567&as_sdt=2005&sciodt=2007&hl=en",24,"2026-01-26 18:01:20","","10.1201/9781003403890-3/3d-5d-printing-additive-manufacturing-functional-construction-materials-sandra-lucas","",,,,,,1,0.50,1,1,2,"… 3D concrete printing is its ability to optimise the shape of the structural elements. The ability to create customised and individualised structures is a unique benefit of 3D concrete printing…","","https://scholar.google.com/scholar?q=related:5_MFBguL1VkJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
0,"AAM Musathik, MHM Ashfak, M Arif…","Towards Smart Construction: Development of An Automated Small Scale 3D Concrete Printer",2025,"… on Smart Computing …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11031018/","",25,"2026-01-26 18:01:20","","","",,,,,,0,0.00,0,4,1,"… were made to improve surface finishing and output continuity by … In this configuration, the surface finishing of the first layer was … Gibson, “A review of 3D concrete printing systems and …","https://ieeexplore.ieee.org/iel8/11030933/11030928/11031018.pdf","https://scholar.google.com/scholar?q=related:TUucGNLMsJEJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
4,"Y Lin, A Bayramvand, M Aghaei Meibodi","Towards Lightweight Structure: Coupling Topology Optimization with Non-planar 3D Concrete Printing",2024,"The International Conference …","Springer","https://link.springer.com/chapter/10.1007/978-981-96-3433-0_1","https://scholar.google.com/scholar?cites=9482137823441404358&as_sdt=2005&sciodt=2007&hl=en",26,"2026-01-26 18:01:20","HTML","10.1007/978-981-96-3433-0_1","",,,,,,4,2.00,1,3,2,"… This not only impacts the buildability and structural integrity of the printed parts but also significantly enhances the surface finishing. The basic equation for 3DCP has been defined as: …","https://link.springer.com/chapter/10.1007/978-981-96-3433-0_1","https://scholar.google.com/scholar?q=related:xkGFpRxSl4MJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
1,"AS Alchaar","Evaluation of 3D Concrete Printing in the United Arab Emirates",2020,"","repository.aus.edu","https://repository.aus.edu/entities/publication/50534159-89c8-4d84-81c9-ee73895617b5","https://scholar.google.com/scholar?cites=16027636614417652662&as_sdt=2005&sciodt=2007&hl=en",27,"2026-01-26 18:01:20","","","",,,,,,1,0.17,1,1,6,"… It also adopts product surface finishing via a trowel that moves in correspondence to the movements of the nozzle, and preferably two trowels are being used for side and top surfaces. …","https://repository.aus.edu/bitstreams/19da9ab7-5cca-4963-8c1a-4b050bb817df/download","https://scholar.google.com/scholar?q=related:tptoL5Wabd4J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
1,"I Mai, L Brohmann, N Freund, S Gantner, H Kloft…","Large Particle 3D Concrete Printing—A Green and Viable Solution. Materials 2021, 14, 6125",2021,"","researchgate.net","https://www.researchgate.net/profile/Norman-Hack/publication/355244373_Large_Particle_3D_Concrete_Printing-A_Green_and_Viable_Solution/links/6169961f039ba2684443a35a/Large-Particle-3D-Concrete-Printing-A-Green-and-Viable-Solution.pdf","https://scholar.google.com/scholar?cites=4468474898363260549&as_sdt=2005&sciodt=2007&hl=en",28,"2026-01-26 18:01:20","PDF","","",,,,,,1,0.20,0,6,5,"… This portal is used for the surface finishing of 3D-printed structures, either directly after printing when the concrete has not yet fully cured [57], or for precise cutting or milling in the cured …","https://www.researchgate.net/profile/Norman-Hack/publication/355244373_Large_Particle_3D_Concrete_Printing-A_Green_and_Viable_Solution/links/6169961f039ba2684443a35a/Large-Particle-3D-Concrete-Printing-A-Green-and-Viable-Solution.pdf","https://scholar.google.com/scholar?q=related:hR6xvD42Az4J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
0,"H Kloft, M Maboudi, M Gerke, P Massin, G Grasser…","Inspection Methods for 3D Concrete Printing",2020,"","researchgate.net","https://www.researchgate.net/profile/Mehdi-Maboudi-2/publication/342759483_Inspection_Methods_for_3D_Concrete_Printing/links/5f4971f592851c6cfdf5b2c4/Inspection-Methods-for-3D-Concrete-Printing.pdf","",29,"2026-01-26 18:01:20","PDF","","",,,,,,0,0.00,0,6,6,"… Data was acquired under different object conditions (dry/wet, with/without reinforcement, before/after surface finishing) in order to take possible conditions on real construction projects …","https://www.researchgate.net/profile/Mehdi-Maboudi-2/publication/342759483_Inspection_Methods_for_3D_Concrete_Printing/links/5f4971f592851c6cfdf5b2c4/Inspection-Methods-for-3D-Concrete-Printing.pdf","https://scholar.google.com/scholar?q=related:sU6AkmkVtuMJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
1,"M Maboudi, K Mawas, M Gerke","Geometric inspection in 3D concrete manufacturing: Comparison of data capturing techniques",2025,"… Archives of the …","isprs-archives.copernicus.org","https://isprs-archives.copernicus.org/articles/XLVIII-G-2025/1029/2025/isprs-archives-XLVIII-G-2025-1029-2025.html","https://scholar.google.com/scholar?cites=11098094819596291623&as_sdt=2005&sciodt=2007&hl=en",30,"2026-01-26 18:01:20","","","",,,,,,1,1.00,0,3,1,"… It is even more important and challenging in modern 3D concrete printing processes where the realization of complex and intricate objects is possible. Using the right sensors for data …","https://isprs-archives.copernicus.org/articles/XLVIII-G-2025/1029/2025/isprs-archives-XLVIII-G-2025-1029-2025.pdf","https://scholar.google.com/scholar?q=related:J86jLXBaBJoJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
4,"M Li, X Zhang, YWD Tay, GHA Ting, B Lu, MJ Tan","Three-dimensional (3D) printing for building and construction",2022,"Digital Manufacturing","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780323950626000048","https://scholar.google.com/scholar?cites=14869051618245665553&as_sdt=2005&sciodt=2007&hl=en",31,"2026-01-26 18:01:20","","","",,,,,,4,1.00,1,6,4,"… It introduces the most popular 3D concrete printing technologies and materials and presents case studies in advanced applications. Although the use of sustainable and recyclable …","","https://scholar.google.com/scholar?q=related:EeN6zKp7Wc4J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
1,"W Lao","Extrudate formation modelling and variable geometry nozzle system design for extrudate geometry control in 3D concrete printing",2020,"","dr.ntu.edu.sg","https://dr.ntu.edu.sg/handle/10356/143015","https://scholar.google.com/scholar?cites=2913669285401140591&as_sdt=2005&sciodt=2007&hl=en",32,"2026-01-26 18:01:20","","","",,,,,,1,0.17,1,1,6,"… -printing process surface finishing” that is referred to as the Contour Crafting (CC) with obvious surface finish quality improvement. Instead of performing a post-surfacefinishing-process, …","https://dr.ntu.edu.sg/bitstream/10356/143015/4/Wenxin_Thesis_Final.pdf","https://scholar.google.com/scholar?q=related:bx1NHcdubygJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
14,"S Gantner, P Rennen, T Rothe, C Hühne…","Core winding: force-flow oriented fibre reinforcement in additive manufacturing with concrete",2022,"… Conference on Concrete …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-06116-5_58","https://scholar.google.com/scholar?cites=8815780612446371154&as_sdt=2005&sciodt=2007&hl=en",33,"2026-01-26 18:01:20","","10.1007/978-3-031-06116-5_58","",,,,,,14,3.50,3,5,4,"… Whereas the fully automated workflow for shotcreting and surface finishing (Fig. 1a, c, d) is described in [9], the fibre winding path is different, as it is derived from structural analysis …","","https://scholar.google.com/scholar?q=related:Uj2kTsLxV3oJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
