Section,Title,Authors,Year,Cites,Source_File
3,In-situ monitoring and process control in material extrusion additive manufacturing: a comprehensive review,"A Isiani, K Crittenden, L Weiss, O Odirachukwu…",2025,4,group A.csv
3,Evaluating Contributions of Emerging Technologies to Civil Infrastructure System Resilience. II: Case Studies,"K Soga, ZQ Chen, PG Hubbard, C Ford…",2025,4,group A.csv
3,A Deep Reinforcement Learning Algorithm for Robotic Manipulation Tasks in Simulated Environments,"C Calderon-Cordova, R Sarango",2023,3,group C.csv
3,Practical insights and advances in concrete pumping,"D Mikhalev, SF Nejad, S Ng, B Bose…",2024,2,group A.csv
3,Research Progress on Quality Control Method of Concrete 3D Printing Based on Computer Vision,"W Liu, D Ji, W Cui, X Shi, C Liu, Y Tao",2024,1,group A.csv
3,"The Integration of 3d Printing, Artificial Intelligence and Internet of Things for Construction of Sustainable Smart Homes","AI Shema, AU Ibrahim, C Atakara…",2022,1,group A.csv
3,Geometric inspection in 3D concrete manufacturing: Comparison of data capturing techniques,"M Maboudi, K Mawas, M Gerke",2025,1,group B.csv
3,Bayesian model updating for predictive digital twins under model form uncertainty,JF Unger,2025,0,group A.csv
3,Establishing a conceptual framework for Construction Quality 4.0 (CONQ4. 0),"S Gao, Y Fang",2026,0,group A.csv
3,The “New” Materiality of Reconstruction: On-Site Automated Recycling of Rubble Aggregates for Rebuilding Earthquake-Stricken Villages,"R Ruggiero, PL Cocco, R Cognoli",2026,0,group A.csv
3,Real-time construction safety monitoring using a drone based deep hybrid attention model,"K Sujit, K Indhumathi, G Mohan, NN Jose, K Ramudu…",2025,0,group A.csv
3,Additive Manufacturing: A Vision of Industrial Revolution,OO Adewumi,2024,0,group C.csv
4.1,A strategic roadmap for the manufacturing industry to implement industry 4.0,J Butt,2020,209,group A.csv
4.1,Emerging cementitious composites for 3D printed interiors and exteriors: A materials innovation review,"AO Bankole, ZS Nwokediegwu…",2020,79,group A.csv
4.1,Integrating real-time multi-resolution scanning and machine learning for Conformal Robotic 3D Printing in Architecture,"P Nicholas, G Rossi, E Williams…",2020,69,group C.csv
4.1,"Concrete 3D printing: Process parameters for process control, monitoring and diagnosis in automation and construction","TKN Quah, YWD Tay, JH Lim, MJ Tan, TN Wong…",2023,57,group A.csv
4.1,Inspection methods for 3D concrete printing,"R Buswell, P Kinnell, J Xu, N Hack, H Kloft…",2020,56,group A.csv
4.1,Machine learning in additive manufacturing: A comprehensive insight.,"A Equbal, A Equbal, ZA Khan…",2025,35,group A.csv
4.1,"Modeling and Simulation of 3D Food Printing Systems—Scope, Advances, and Challenges","V Raja, S Nimbkar, JA Moses, SV Ramachandran Nair…",2023,20,group A.csv
4.1,Opportunities and threats of adopting digital twin in construction projects: A review,"M Wang, M Ashour, A Mahdiyar, S Sabri",2024,15,group A.csv
4.1,Surface finish classification using depth camera data,"V Frangez, D Salido-Monzu, A Wieser",2021,14,group B.csv
4.1,Adaptive deposit compensation of construction materials in a 3D printing process,"X Yang, O Lakhal, A Belarouci…",2022,13,group A.csv
4.1,Let's Print an Ecology in 3D (and 4D),"M Szechyńska-Hebda, M Hebda…",2024,12,group A.csv
4.1,Machine learning approaches for FDM-based 3D printing: a literature review,"E Aktepe, U Ergün",2025,9,group A.csv
4.1,"Digital Manufacturing: The Industrialization of"" art to Part"" 3D Additive Printing","CD Patel, CH Chen",2022,9,group A.csv
4.1,Determination of quality classes for material extrusion additive manufacturing using image processing,"A Oleff, B Küster, L Overmeyer",2024,9,group A.csv
4.1,Current approaches to digital twins in additive manufacturing: a systematic literature review,"L Tudorache, Ö Babur, SS Lucas…",2025,8,group A.csv
4.1,Physics-Driven Data Collection in 3-D Printing: Traversing the Realm of Social Manufacturing,"TS Tamir, G Xiong, Z Shen…",2024,6,group A.csv
4.1,A Systematic Review of Innovative Advances in Multi-Material Additive Manufacturing: Implications for Architecture and Construction,"A Fakhr Ghasemi, J Pinto Duarte",2025,5,group A.csv
4.1,Defect detection in 3D printing: A review of image processing and machine vision techniques,"E Armin, S Ebrahimian, M Sanjari, P Saidi…",2025,3,group A.csv
4.1,Effect of Recycling and UV Ageing on the Properties of PLA-Based Materials Used in Additive Manufacturing,"P Jirků, M Muller, RK Mishra, J Svobodová",2025,3,group A.csv
4.1,Revolutionizing Architecture: 3D Printing in Large Construction Industry and Strategic Innovations for Enhanced Performance,"G Murtaza, G Baldinelli",2025,1,group A.csv
4.1,Acoustic emission monitoring of the powder bed fusion process with machine learning approach,M Ghayoomi Mohammadi,2021,1,group A.csv
4.1,Systematic Literature Review of Competencies for Human–Robot Collaboration in Construction: A Task-Technology Fit Perspective,"E Olukanni, A Akanmu, H Jebelli",2026,1,group A.csv
4.1,Predicting ultimate tensile and break strength of SLS PA 12 parts using machine learning on tensile load–displacement data,"A García Rodríguez, E Espejo Mora…",2025,1,group A.csv
4.1,Automated Data-Driven Decision-Making Ensuring 3D-Printed Con-crete Performance using Machine Learning,"JCJ Spieringhs, TAMT Salet, RJMR Wolfs…",2024,0,group A.csv
4.1,"3D concrete printing for digital construction: Materials, process integration, and emerging performance paradigms","V Nguyen-Van, M Dai, BL Dang",2026,0,group A.csv
4.1,Machine Learning in the Modeling of 3D Printed Soil-Cement Materials: A Short Overview,"M Fareghian, M Afrazi, D Jahed Armaghani…",2026,0,group A.csv
4.1,Optimisation of Interlayer Bond Strength in 3D-Printed Concrete Using Response Surface Methodology and Artificial Neural Networks,"L Simwanda, AB David, G Perampalam, OB Olalusi…",2025,0,group A.csv
4.1,Artificial intelligence-aided defect detection and healing in laser-based powder bed fusion,"JS Akmal, N Doosti, M Macarie, K Minet-Lallemand…",2025,0,group A.csv
4.1,"Large Format Additive Manufacturing with Cementitious and Geo Materials. General Considerations, Drivers, and Context",M Alnaggar,2026,0,group A.csv
4.1,Exploring the Synergy of Machine Learning Integration in 3D Printing and Additive Manufacturing,"A Diniă, CM Rosca, M Tănase, A Stancu…",2025,0,group A.csv
4.1,Sustainable utilization of waste in the 3D printed concrete,"J Sun, H Wang, Y Zhang, H Liu, M Zhang…",2026,0,group A.csv
4.1,Using Machine Learning to Predict Buildability of 3D Concrete Printing,H Zhang,2024,0,group A.csv
4.1,Sustainable Corrosion Inhibition Using Agricultural Waste: An ESG Strategy,"O Sanni, K Ukoba, J Ren, TC Jen",2024,0,group A.csv
4.1,Machine Learning-Enabled In-Situ Defect Detection in Extrusion-Based Additive Manufacturing: A Step Toward Qualification and Certification,"MJ Shekh, C Parson, A Mishra, S Sanyal, HD Vora",2025,0,group A.csv
4.1,Real-time Quality Control for Offsite LGS Frame Manufacturing using Vision-based Deep Learning,G Nader,2024,0,group A.csv
4.1,"3D Concrete Printing: Technologies, Applications and Classifications","A Perrot, Y Jacquet, S Amziane",2025,0,group B.csv
4.1,Machine learning techniques in additive manufacturing of functional polymers and nanocomposites,"JG Vitore, AD Gholap, D Nunse, R Pawar…",2025,0,group B.csv
4.1,Terrain-Adaptive Mobile 3D Printing with Hierarchical Control,"SN Li, JN Kutz",2026,0,group C.csv
4.2,Human–robot collaboration in construction: Classification and research trends,"CJ Liang, X Wang, VR Kamat…",2021,239,group C.csv
4.2,Reinforcement strategies for 3D‐concrete‐printing,"H Kloft, M Empelmann, N Hack…",2020,168,group C.csv
4.2,Eggshell: ultra-thin three-dimensional printed formwork for concrete structures,"J Burger, E Lloret-Fritschi, F Scotto…",2020,144,group C.csv
4.2,Effects of 3D-printing processing parameters on FFF parts' porosity: Outlook and trends,"J Kechagias, S Zaoutsos",2024,119,group C.csv
4.2,"A review of cable-driven parallel robots: Typical configurations, analysis techniques, and control methods","M Zarebidoki, JS Dhupia, W Xu",2022,110,group C.csv
4.2,Toolpath-based design for 3D concrete printing of carbon-efficient architectural structures,"L Breseghello, R Naboni",2022,87,group C.csv
4.2,Modelling and parameter optimization for filament deformation in 3D cementitious material printing using support vector machine,"Z Liu, M Li, Y Weng, Y Qian, TN Wong…",2020,86,group B.csv
4.2,3D printing devices and reinforcing techniques for extruded cement-based materials: a review,"X Cao, S Yu, H Cui, Z Li",2022,61,group C.csv
4.2,Injection 3D concrete printing (I3DCP): Basic principles and case studies,"N Hack, I Dressler, L Brohmann, S Gantner, D Lowke…",2020,59,group C.csv
4.2,Real-time toolpath planning and extrusion control (RTPEC) method for variable-width 3D concrete printing,"PF Yuan, Q Zhan, H Wu, HS Beh, L Zhang",2022,51,group C.csv
4.2,Constraints and limitations of concrete 3D printing in architecture,CH Ko,2022,49,group C.csv
4.2,On the impact of additive manufacturing processes complexity on modelling,"P Stavropoulos, P Foteinopoulos…",2021,44,group C.csv
4.2,Multiscale 3D printing via active nozzle size and shape control,"SW Kang, J Mueller",2024,40,group C.csv
4.2,A novel strategy for multi-part production in additive manufacturing,"J Jiang, X Xu, Y Xiong, Y Tang, G Dong…",2020,39,group C.csv
4.2,A practical fabrication strategy for wire arc additive manufacturing of metallic parts with wire structures,"Z Yu, Z Pan, D Ding, J Polden, F He, L Yuan…",2021,37,group C.csv
4.2,Topology optimisation of self-supporting structures based on the multi-directional additive manufacturing technique,"J Ye, Q Guo, H Lu, P Kyvelou, Y Zhao…",2023,34,group C.csv
4.2,Combined additive manufacturing techniques for adaptive coastline protection structures,"R Dörrie, V Laghi, L Arrè, G Kienbaum, N Babovic…",2022,33,group C.csv
4.2,Autonomous mobile 3D printing of large-scale trajectories,"J Sustarevas, D Kanoulas…",2022,30,group C.csv
4.2,A comprehensive review of sustainable materials and toolpath optimization in 3D concrete printing,"Z Zhuang, F Xu, J Ye, N Hu, L Jiang…",2024,27,group A.csv
4.2,Task-consistent path planning for mobile 3d printing,"J Sustarevas, D Kanoulas…",2021,27,group C.csv
4.2,Bending performance of 3D printed ultra high-performance concrete composite beams,"G Bai, J Guan, L Wang, Z Li, G Ma",2024,26,group C.csv
4.2,A review of the extruder system design for large-scale extrusion-based 3D concrete printing,"H Chen, D Zhang, P Chen, N Li, A Perrot",2023,26,group C.csv
4.2,"Integrated vehicle chassis fabricated by wire and arc additive manufacturing: structure generation, printing radian optimisation, and performance prediction","J Li, Q Cui, C Pang, P Xu, W Luo, J Li",2024,22,group C.csv
4.2,Design and system considerations for construction-scale concrete additive manufacturing in remote environments via robotic arm deposition,"NA Meisel, N Watson, SG Bilén, JP Duarte…",2022,21,group C.csv
4.2,A review on the application of 3D printing technology in pavement maintenance,"F Gong, X Cheng, Q Wang, Y Chen, Z You, Y Liu",2023,19,group C.csv
4.2,Integration BIM and emerging technologies in architectural academic programs,N Abdelhai,2022,19,group C.csv
4.2,Fabrication information modeling: Interfacing building information modeling with digital fabrication,"M Slepicka, S Vilgertshofer, A Borrmann",2022,18,group C.csv
4.2,Projector-guided non-holonomic mobile 3D printing,"X Xu, Z Wang, C Feng",2021,17,group C.csv
4.2,A global snapshot of 3D-printed buildings: Uncovering robotic-oriented fabrication strategies,"G Placzek, P Schwerdtner",2024,16,group C.csv
4.2,Internal topology optimisation of 3D printed concrete structures: a method for enhanced performance and material efficiency,"J Hernández Vargas, A Sjölander…",2024,15,group C.csv
4.2,A path towards off-site automated fabrication of segmented concrete shells as building floors,"R Oval, E Costa, M Nuh…",2020,15,group C.csv
4.2,Process control for additive manufacturing of concrete components,"L Lachmayer, R Dörrie, H Kloft, A Raatz",2022,14,group C.csv
4.2,Bézier-based biased random-key genetic algorithm to address printability constraints in the topology optimization of concrete structures,"T Pastore, C Menna, D Asprone",2022,14,group C.csv
4.2,Wire Arc Additive Manufacturing for Widespread Architectural Application: A Review Informed by Large-Scale Prototypes,"F Raspall, S Araya, M Pazols, E Valenzuela, M Castillo…",2025,14,group C.csv
4.2,Mobile robotics and 3D printing: addressing challenges in path planning and scalability,"M Rastegarpanah, ME Asif, J Butt, H Voos…",2024,13,group A.csv
4.2,Force flow compliant robotic path planning approach for reinforced concrete elements using SC3DP,"R Dörrie, H Kloft",2022,13,group C.csv
4.2,Multi-objective optimization of material extrusion additively manufactured parts from PETG feedstock material using grey wolf algorithm,"A Trivedi, M Patel",2025,13,group C.csv
4.2,an approach of path optimization algorithm for 3D concrete printing based on graph theory,"Z Ma, W Wan, L Song, C Liu, H Liu, Y Wu",2022,12,group C.csv
4.2,Foamwork: Challenges and strategies in using mineral foam 3D printing for a lightweight composite concrete slab,"P Bedarf, A Szabo, E Scoccimarro…",2023,12,group C.csv
4.2,Experimental and numerical assessments of new concrete dry connections concerning potentials of the robotic subtractive manufacturing technique,"A Baghdadi, M Heristchian, L Ledderose, H Kloft",2023,12,group C.csv
4.2,Research on the system design and target recognition method of the rebar-tying robot,"R Feng, Y Jia, T Wang, H Gan",2024,12,group C.csv
4.2,Spiral complete coverage path planning based on conformal slit mapping in multi-connected domains,"C Shen, S Mao, B Xu, Z Wang…",2024,11,group C.csv
4.2,"Modelling, analysis and comparison of robot energy consumption for three-dimensional concrete printing technology","D Kajzr, T Myslivec, J Černohorský",2024,10,group C.csv
4.2,Robotic 3D printing of geopolymer foam for lightweight and insulating building elements,"P Bedarf, A Szabo, M Zanini…",2024,10,group C.csv
4.2,Aerial additive manufacturing: Toward on-site building construction with aerial robots,"YF Kaya, L Orr, BB Kocer, V Pawar, R Stuart-Smith…",2025,10,group C.csv
4.2,Additive fabrication of large-scale customizable formwork using robotic fiber-reinforced polymer winding,"Y Ou, DW Bao, GQ Zhu, D Luo",2022,9,group C.csv
4.2,Utilizing Industrial By-Products for Sustainable Three-Dimensional-Printed Infrastructure Applications: A Comprehensive Review,"EO Kurniati, HJ Kim",2023,9,group C.csv
4.2,A TSP-based continuous path planning for additive manufacturing of concrete,"A Sahu, B Panda",2025,8,group B.csv
4.2,Trajectory planning for concrete element fabrication with optimal control,"B Blagojevic, B Schönemann, D Nigl…",2021,7,group C.csv
4.2,"Concrete 3D printing: System development, process planning and experimental results","Y Wang, S Li, T Qin, Y Yu, J Xiao",2020,7,group C.csv
4.2,A structure-and fabrication-informed strategy for the design of lattice structures with Injection 3D Concrete Printing,"Y Xiao, Y Shen, N Hack…",2022,7,group C.csv
4.2,Data-Driven autonomous printing process optimization and real-time abnormality identification in aerosol jet-deposited droplet morphology,"H Zhang, L Cui, PH Lee, Y Kim, SK Moon…",2024,6,group A.csv
4.2,Multi-Model based Additive Manufacturing: A framework for automated large-scale 3D concrete printing with industrial robots*,"L Lachmayer, T Recker, V Ekanayaka…",2024,6,group C.csv
4.2,Fiber reinforcement of 3D printed concrete by material extrusion toolpaths aligned to principal stress trajectories,"D Auer, F Bos, M Olabi, O Fischer",2023,6,group C.csv
4.2,New calculation approach for selecting and orienting the reinforcing material for robotic concrete manufacturing,"A Baghdadi, R Doerrie, H Kloft",2020,6,group C.csv
4.2,Optimized control method for fused deposition 3D printing slice contour path based on improved hopfield neural network,"Y Dong, B Hu",2023,6,group C.csv
4.2,Adaptable tool-path planning method for 3D concrete printing based on the mapping method,"Q Wan, L Wang, G Ma",2020,5,group C.csv
4.2,Structural Performance-Based 3D Concrete Printing for an Efficient Concrete Beam,"H Wu, Y Li, X Xie, X Gao, PF Yuan",2023,5,group C.csv
4.2,Curved-Layer Slicing and Continuous Path Planning for Multi-Axis Printing of Fiber-Reinforced Composite Structures,"Y Li, C Shi, X Yan",2025,5,group C.csv
4.2,3D Printing in Modular Construction: Opportunities and Challenges,"M Li, D Li, J Zhang, JCP Cheng…",2020,5,group C.csv
4.2,Development of a generative design system for 3D-printed houses in Chile,"R Garcia-Alvarado, P Soza-Ruiz…",2024,5,group C.csv
4.2,"Workflow for generating, simulating, and optimizing form and toolpath in 3D concrete printing of vaults","G Duarte, NC Brown, JP Duarte",2024,4,group C.csv
4.2,Optimized motion planning for mobile robots in dynamic construction environments with low-feature mapping and pose-based positioning,"S Du, M Du, Y Gao, M Yang, F Hu, Y Weng",2025,4,group C.csv
4.2,A Novel Large-Scale 3D Printing Apparatus for Complex Geological Models and Its Application,"SM Mei, ZW Li, BG He, JQ Song, MY Zhang…",2025,4,group C.csv
4.2,"Welding‐Based 3D, 4D, 5D Printing","S Goka, SN Srirama, G Divya Jyothi…",2024,4,group C.csv
4.2,Solving Some Graph Problems in Composite 3D Printing Using Spreadsheet Modeling,"L Hlinenko, V Fast, Y Yakovenko, R Trach…",2023,4,group C.csv
4.2,Robotic FDM for free-form fabrication: evaluating adaptive non-planar slicing with different contour methods,"V Furlan, F Insero, H Giberti",2025,4,group C.csv
4.2,Design and development of a g-code generator for cnc machine tools based on augmented reality (AR),"D Mourtzis, P Kaimasidis, J Angelopoulos…",2022,4,group C.csv
4.2,Design Tool for Extrusion Based Additive Manufacturing of Functionally Enhanced Lightweight Concrete Wall Elements with Internal Cellular Structures,F Jaugstetter,2020,4,group C.csv
4.2,Reconfigurable cable-driven parallel mechanism design: physical constraints and control,"E Khoshbin, MJD Otis, R Meziane",2024,4,group C.csv
4.2,Branch Wall: Developing Topology Informed Non-Planar Toolpath and Variable Deposition Rate for 3d Concrete Printing of Topology Optimized Load Bearing Wall,"Y Lin, A Bayramvand, MA Meibodi",2023,3,group C.csv
4.2,Compensation manipulator for concrete 3D printing based on the CONPrint3D,"A Mustafa, F Storch, K Rustem, P Plashnik…",2024,3,group C.csv
4.2,Robotic frame winding: prefabricated fibre structures as formwork and reinforcement for digitally fabricated shell-like concrete elements,"S Gantner, P Rennen, FS Amiri, T Rothe, C Hühne…",2025,3,group C.csv
4.2,Building Information Model (BIM) and robotic systems integration for construction: A comprehensive workflow analysis and future perspectives,"O Odugu, F Ghafari, E Shourangiz, MT Khan…",2024,3,group C.csv
4.2,Optimal strategies for filament orientation in non-planar 3D printing,"S Atarihuana, F Fernández, J Erazo, M Narváez…",2024,3,group C.csv
4.2,Towards construction 4.0: computational circular design and additive manufacturing for architecture through robotic fabrication with sustainable materials and open …,"P Eversmann, A Rossi",2023,3,group C.csv
4.2,Beyond trial and error: toward construction-aware early design optimization considering robotic capabilities,"SH Zargar, RM Leicht, AR Wagner, J Duarte…",2025,3,group C.csv
4.2,Grading Threads. Exploiting Viscous Thread Instability for the additive fabrication of Functionally Graded Structures via sensor-adaptive robotic control,M Palma,2023,3,group C.csv
4.2,Path planning for graded concrete element fabrication,"B Blagojevic, O Sawodny",2023,2,group C.csv
4.2,Feasibility Study on Reinforcement Placement with a BIM-Enabled Collaborative Robot System,"F Teng, D Zhang, H Li, Y Weng",2023,2,group C.csv
4.2,3D concrete printing of topological interlocking blocks,"T Goertzen, T Neef, P Scheffler, D Macek…",2025,2,group C.csv
4.2,Design of miniature 3D concrete printer (3DCP) for one-story house building,"MK Abdulloh, IA Sulistijono, MN Tamara",2024,2,group C.csv
4.2,A curved layering algorithm based on voxelization and geodesic distance for robotic GMA additive manufacturing,"X Li, H Yan, J Sun, Y Li, G Zhang",2024,2,group C.csv
4.2,UAV 3D Path Planning based on Ant Colony Algorithm,X Du,2023,2,group C.csv
4.2,Comparison between mono-and bi-component extruders in concrete additive manufacturing,"L Poudelet, MG Molina, L Calvo, R Cardona…",2023,2,group C.csv
4.2,3D printing for construction: a systematic review of its sustainability,"F Simioni, B Rangel, N Campos, J Teixeira",2023,2,group C.csv
4.2,A novel parametrical approach to the ribbed element slicing process in robotic additive manufacturing,"I Gajdoš, Ł Sobaszek, P Štefčák, J Varga, J Slota",2025,2,group C.csv
4.2,RAVEN: development of a novel robotic additive manufacturing system towards small-scale fabrication of complex scaffolds for regenerative medicine,"P Fucile, VC David, M Kalogeropoulou…",2024,2,group C.csv
4.2,Forming quality evaluation of 3D printed lines and layers with cement-based materials under different process parameters,"SM Mei, MY Zhang, ZW Li, BG He…",2025,2,group C.csv
4.2,Improving a tool-path optimisation method in material extrusion additive manufacturing by data clustering and collapsing,"N Volpato, TR Weller, R Minetto, RD da Silva…",2025,2,group C.csv
4.2,Performance Modeling of 3D Printed Structural Beams Using Low-Carbon Cementitious Composites,"SE Okiye, ZS Nwokediegwu, AO Bankole",2024,1,group A.csv
4.2,Additive Manufacturing of Bead-Chain-Shaped Scaffolds with AI-Based Process Optimization,"JA Kim, HW Kim, YS Cho",2025,1,group A.csv
4.2,RESOURCE-SAVING TECHNOLOGIES AND STRUCTURAL OPTIMIZATION OF CIVIL DEFENSE PROTECTIVE STRUCTURES,"V Usenko, A Hasenko, D Usenko",2025,1,group A.csv
4.2,Ceramic Process Optimization and Automation Design Based on CAD and Reinforcement Learning,"T Tu, M Liu, Y Yu, H Yang",2024,1,group A.csv
4.2,Predictive modeling and statistical optimization of geometrical accuracy in thin-walled HT-PLA parts fabricated by FFF,"CLF De Assis, K dos Santos Tiene…",2025,1,group A.csv
4.2,Topology Optimization of 3D Printed Flexural Elements,A Bjelland,2020,1,group B.csv
4.2,Building Information Modeling (BIM)-based on-site 3D printer position optimization and path planning for digital fabrication,"S Bas, OE Aydin, ZB Bundur, G Guven",2024,1,group C.csv
4.2,Cost Effective Design and Development of a Cable-Driven Parallel Robot for Concrete Printing,"I Chawla, BRB Pedapudi…",2025,1,group C.csv
4.2,Computational Design of Architected Lattices for Construction Applications,S Leamon,2025,1,group C.csv
4.2,Digital Fabrication of Biologically Cemented Spatial Structures,"K Antorveza Paez, AS Ling, N Mahamaliyev…",2025,1,group C.csv
4.2,Deriving Fabrication Information from BIM for Automated Robotic Task Planning,"MJS Brinkhoff, MR Kolani",2024,1,group C.csv
4.2,Additive Manufacturing and Automation in Construction,O Iuorio,2024,1,group C.csv
4.2,The Cost of Scaling Up in Large-Format Additive Manufacturing,"A Roschli, BK Post, P Wang, P Chesser…",2025,1,group C.csv
4.2,Intelligent 3D printing method for large 3D deep complex engineering geological model,"F Xiating, Z Li, MEI Shiming, G Yanhua",2024,1,group C.csv
4.2,Cultural heritage conservation in digital era: A review of digital twin and 3D printing applications,"İH Tarhan, Y Tarhan",2025,1,group C.csv
4.2,"BIM integration in prefabricated additive construction projects, case study","LM Henao-Rios, A Orobio, W Campaña",2026,1,group C.csv
4.2,Hybrid Path Generation Method for Multi-Axis Laser Metal Deposition of Overhanging Thin-Walled Structures,"H Liu, F Xing",2024,1,group C.csv
4.2,A hybrid fabrication technique of capacitive flow meters using three-dimensional printing for rectifying airflows,"S Shin, G Park, WY Kim, H So",2022,1,group C.csv
4.2,Systematic review on 3D concrete printing technology: breakthroughs and challenges,"AA Agegn, Y Regassa, K Angassa…",2026,0,group A.csv
4.2,Concrete Spray 3D Printing Simulator for Nozzle Trajectory Planning,"S Yamakawa, K Vazquez-Santiago…",2025,0,group A.csv
4.2,Roadmap on Artificial Intelligence‐Augmented Additive Manufacturing,"A Zolfagharian, L Jin, Q Ge, WH Liao…",2026,0,group A.csv
4.2,Resource-saving technologies and structural optimization of civil defense protective structures. In Innovations in science: current research and advanced technologies …,"ВГ Усенко, АВ Гасенко, ДВ Усенко",2025,0,group A.csv
4.2,Implementation Pathways for the Sustainable Development of China's 3D Printing Industry Under the “Dual Carbon” Goals: Policy Optimization and …,"L Xuan, Y Zhao",2026,0,group A.csv
4.2,An Interlaced Toolpath Method for Void Reduction in Material Extrusion Additive Manufacturing,X Sun,2024,0,group A.csv
4.2,The Effects of Non-Planar 3D Printing on the Strength of Complex Architectural Forms,E Simon,2025,0,group A.csv
4.2,Allosteric regulation in globin coupled sensor proteins,N Hoque,2024,0,group A.csv
4.2,Multi-Criteria Decision Framework for Optimal Robotic System Selection in 3D Concrete Printing,"L Ciprian, CM Negrutiu, S Ioan",2026,0,group C.csv
4.2,Simultaneous topology and path optimization for 3D concrete printing based on discrete frame structures,"M Liao, X Sun, Z Chen",2025,0,group C.csv
4.2,Real-Time Vision-Based Path Planning Approach for Shape Error Minimization in 3D Printing of Cylindrical Structure,"S Ishikawa, R Tasaki",2025,0,group C.csv
4.2,Method and a system for collision avoidance of a 3D robotic concrete printer,"C SCHLETTE, LN Henrik",2025,0,group C.csv
4.2,Adaptable Tool-Path Planning Method for 3D Concrete Printing Based on the Mapping,"Q Wan¹, L Wang, G Ma",2021,0,group C.csv
